Title,Genre,Runtime,imdbRating,Year
Dead Man's Trail,"Action, Mystery, Western",59,5.2,1952
Trimurti,"Action, Romance",187,4.6,1995
Miami Golem,"Action, Sci-Fi",85,4.1,1985
Re-Generator,"Action, Sci-Fi",94,3.1,2010
Space Marines,"Action, Sci-Fi",95,3.5,1996
The Matrix Reloaded,"Action, Sci-Fi",138,7.2,2003
Radar Men from the Moon,"Action, Sci-Fi",167,4.5,1952
Surrogates,"Action, Sci-Fi, Thriller",89,6.3,2009
Interceptor,"Action, Sci-Fi, Thriller",90,3.8,2009
Galaxis,"Action, Sci-Fi, Thriller",91,2.5,1995
House Under Siege,"Action, Thriller",78,4.1,2010
Angelfist,"Action, Thriller",80,4.8,1993
Savage Hunt,"Action, Thriller",87,5.4,1980
Renegade Force,"Action, Thriller",90,5.6,1998
The Cold Light of Day,"Action, Thriller",93,4.9,2012
Guns,"Action, Thriller",96,3.6,1990
Ex-Cop,"Action, Thriller",97,5.1,1993
Once Upon a Time in Mexico,"Action, Thriller",102,6.4,2003
Invasion U.S.A.,"Action, Thriller",107,5.3,1985
Road House,"Action, Thriller",114,6.4,1989
Stryker's War,"Action, Thriller, Adventure",84,6,1985
Hangmen,"Action, Thriller, Adventure",90,2.9,1987
Off Limits,"Action, Thriller, War",102,6.1,1988
Adios Sabata,"Action, War, Western",104,6,1970
Adventures of Texas Jack,"Action, Western",54,4.3,1934
Thunder Trail,"Action, Western",58,6.5,1937
Masked Raiders,"Action, Western",65,7.3,1949
Cattle Drive,"Action, Western",77,6.3,1951
Bride's Delight,Adult,52,4.2,1971
The Young Marrieds,Adult,52,7,1971
Big Melons 4,Adult,56,7.1,1985
Strange Family Mix.,Adult,59,4.5,1977
Big Melons 5,Adult,60,7.4,1985
Du foutre plein le cul,Adult,60,6.8,1984
Retourne-moi c'est meilleur,Adult,68,5.8,1981
Serena: An Adult Fairytale,Adult,68,4.3,1980
Constance,Adult,70,3.6,1998
High School Fantasies,Adult,70,5.3,1974
Secrets of a Willing Wife,Adult,70,6.5,1979
Sex Pistol,Adult,71,6.8,1991
Sexeo,Adult,73,5.8,1985
I Am Always Ready,Adult,74,5.4,1978
Kuroi danchi tsuma: Ninshin shitai nyíékyo-sha,Adult,74,1.2,2013
Up Desiree Lane,Adult,74,8,1984
Sex Star,Adult,75,6.6,1983
Aunt Peg's Fulfillment,Adult,76,6.7,1981
Brothers Should Do It,Adult,76,7.5,1981
Lollipop Palace,Adult,76,6.7,1976
Shoppe of Temptations,Adult,76,6.4,1979
Stacey's Hot Rod,Adult,76,6.8,1983
Sinderella,Adult,78,7.5,1995
Heimliche Liebe,Adult,79,5.5,1980
Incest: Brother Love,Adult,80,7.7,1974
Same Time Every Year,Adult,80,5.8,1981
Wicked Sensations,Adult,80,7,1980
A Star Is Porn,Adult,81,6.8,1986
Karen's Bi-line,Adult,81,6.9,1989
Fashion Fantasies,Adult,82,6.8,1985
Taylor Made,Adult,82,6.6,1989
Wanted: Billy the Kid,Adult,82,7.6,1976
A Night at the Adonis,Adult,83,7.7,1978
"Senta no Meu, Que Eu Entro na Tua",Adult,88,6.2,1985
"Senta no Meu, Que Eu Entro na Tua",Adult,88,6.2,1985
Soubrettes Services,Adult,89,4.8,2010
A Lover for Susan,Adult,90,5.8,1987
Sexy Secrets of the Sex Therapists,Adult,90,7.2,1987
Sexy and 18,Adult,97,4.8,1987
Sexloose,Adult,98,4.8,1982
Sex Weirdo,Adult,106,2,1973
The School for Sexual Arts,"Adult, Comedy",57,4.9,1975
Le pensionnat des petites salopes,"Adult, Comedy",66,6.5,1982
Around the World with John 'The Wadd' Holmes,"Adult, Comedy",79,5.3,1975
